city_ID_i,pop_i,unemp_i,pcinc_i,div_i,dem_i,lat_i,longt_i,cm_i,mc_i,co_i
533400,35193,0.112760759,20205,0.39905142,0.28014382,34.491992,-93.050809,1,0,0
568810,29919,0.086732472,20365,0.499214175,0.288739748,33.436343,-93.987116,1,0,0
600562,73812,0.081138466,38434,0.62644807,0.787717091,37.764471,-122.283273,1,0,0
600674,18539,0.056252009,36819,0.591555075,0.787717091,37.888621,-122.325662,1,0,0
600947,47823,0.055451559,43231,0.447352935,0.787717091,33.577933,-117.729952,1,0,0
602000,336265,0.096133539,22911,0.617159983,0.787717091,33.855497,-117.760071,1,0,0
602252,102372,0.10314864,25458,0.67105952,0.787717091,37.977541,-121.797618,1,0,0
602364,69135,0.129193063,22410,0.48319569,0.787717091,34.533376,-117.210358,1,0,0
602462,56364,0.047410415,37973,0.540306355,0.787717091,34.132689,-118.036347,1,0,0
603526,347483,0.10199176,23022,0.592231558,0.787717091,35.321213,-119.018291,1,0,0
603666,75390,0.101887229,15228,0.629010478,0.362774733,34.082824,-117.971286,1,0,0
603820,29603,0.095340014,21020,0.530522521,0.674273669,33.946032,-116.899241,1,0,0
604030,22639,0.086824885,19643,0.632237622,0.674273669,34.866788,-117.043006,1,0,0
604758,36877,0.067504363,24755,0.548477761,0.674273669,33.863083,-116.950461,1,0,0
604982,76616,0.072922354,20345,0.694186833,0.674273669,33.887821,-118.12725,1,0,0
604996,42072,0.080691012,12146,0.526575867,0.674273669,33.964379,-118.154437,1,0,0
605108,25835,0.058892409,52376,0.490739908,0.674273669,37.514398,-122.294475,1,0,0
605290,26997,0.048269581,43112,0.448421358,0.674273669,38.0688,-122.150946,1,0,0
606000,112580,0.067113619,36498,0.586774569,0.674273669,37.866702,-122.299066,1,0,0
606308,34109,0.070436743,66769,0.308273971,0.674273669,34.07923,-118.402437,1,0,0
608954,103340,0.068029096,33320,0.440765393,0.674273669,37.321073,-121.930457,1,0,0
609066,28806,0.065474182,49532,0.48801054,0.674273669,37.589952,-122.363342,1,0,0
609710,38572,0.161045975,14472,0.497094644,0.674273669,32.684321,-115.494579,1,0,0
610345,39349,0.061580238,43199,0.507787886,0.398442564,37.280232,-121.954352,1,0,0
611194,105328,0.064597674,44587,0.302414758,0.49977185,33.123909,-117.282835,1,0,0
611530,91714,0.093495935,23318,0.751245183,0.49977185,33.840367,-118.249574,1,0,0
612048,51200,0.09026398,22374,0.516233353,0.49977185,33.835487,-116.463103,1,0,0
612524,45417,0.138491822,18154,0.565613848,0.579970187,37.596636,-120.954907,1,0,0
613392,243916,0.088222756,24646,0.619527143,0.579970187,32.62767,-117.01517,1,0,0
613756,34926,0.069698208,36407,0.469553159,0.665528707,34.125192,-117.713725,1,0,0
614260,40704,0.148771477,12019,0.521815347,0.404142407,33.69102,-116.145098,1,0,0
614274,13380,0.047038821,12060,0.550681717,0.707238844,36.133056,-120.339028,1,0,0
614890,52154,0.107278272,16496,0.636597236,0.707238844,34.054553,-117.325031,1,0,0
616000,122067,0.083048198,31029,0.530689634,0.707238844,37.972179,-122.001584,1,0,0
616378,18912,0.058214748,47141,0.218180784,0.707238844,32.657202,-117.156137,1,0,0
617022,7643,0.187841945,9953,0.528444179,0.707238844,41.766508,-124.198945,1,0,0
617568,38883,0.064081396,40523,0.583125403,0.707238844,34.00582,-118.396781,1,0,0
617610,58302,0.068992596,49890,0.498097507,0.707238844,37.319398,-122.044956,1,0,0
617750,47802,0.060410793,32338,0.591618684,0.707238844,33.818477,-118.038307,1,0,0
617918,101123,0.087337328,27731,0.598920879,0.707238844,37.700941,-122.464978,1,0,0
617988,42039,0.053158629,62537,0.295004109,0.707238844,37.812191,-121.969955,1,0,0
618506,4161,0.022146508,81069,0.114547825,0.707238844,32.962831,-117.262393,1,0,0
619192,55544,0.051904419,33145,0.601399502,0.707238844,34.001573,-117.817601,1,0,0
620018,46036,0.066031123,39337,0.639725308,0.707238844,37.714291,-121.901317,1,0,0
622020,153015,0.080789232,29164,0.678332453,0.707238844,38.414423,-121.384937,1,0,0
622300,29793,0.075626621,25839,0.365875104,0.707238844,35.64074,-120.654268,1,0,0
622678,59518,0.055143453,48226,0.253956877,0.707238844,33.050632,-117.263616,1,0,0
622804,143911,0.080842411,23182,0.542042739,0.707238844,33.133648,-117.073223,1,0,0
623042,27191,0.087968855,22959,0.356481426,0.707238844,40.793304,-124.15535,1,0,0
623168,7441,0.039102422,47572,0.204199787,0.707238844,37.988378,-122.595097,1,0,0
623616,10588,0.15574726,9918,0.531467612,0.707238844,36.305352,-119.208135,1,0,0
625058,7273,0.109501738,18831,0.397336506,0.707238844,39.441069,-123.80362,1,0,0
625296,11926,0.055904523,22986,0.320675624,0.707238844,40.585411,-124.142608,1,0,0
625380,55313,0.06495157,35035,0.560872886,0.707238844,33.710582,-117.951129,1,0,0
626000,214089,0.065407358,37844,0.61442157,0.707238844,37.494373,-121.941117,1,0,0
627000,494665,0.123990564,19709,0.654369572,0.707238844,36.782674,-119.794492,1,0,0
628112,23647,0.096143449,21112,0.489682041,0.707238844,38.267461,-121.303836,1,0,0
630000,191719,0.080284573,29823,0.456030982,0.707238844,34.181393,-118.24583,1,0,0
630994,16330,0.172044433,14345,0.552321197,0.707238844,36.323292,-121.244924,1,0,0
631393,13156,0.060005582,24328,0.394025755,0.707238844,35.120888,-120.619664,1,0,0
631414,7080,0.067239336,14090,0.56077153,0.707238844,34.961631,-120.573377,1,0,0
631708,11324,0.075728155,44762,0.389754239,0.761582304,37.46677,-122.437378,1,0,0
633308,24060,0.067021681,37813,0.688419624,0.761582304,38.021425,-122.288924,1,0,0
633434,90173,0.153999946,17815,0.535479211,0.761582304,34.397038,-117.315198,1,0,0
636000,189992,0.069562044,41552,0.388165181,0.761582304,33.690569,-118.00933,1,0,0
636294,26324,0.09655511,20374,0.540285819,0.625735053,32.565354,-117.114567,1,0,0
636448,76036,0.107259416,21333,0.512862425,0.529503963,33.729928,-116.235996,1,0,0
636546,109673,0.095924279,19508,0.659953394,0.6695526,33.956068,-118.344274,1,0,0
