city_ID_j,pop_j,unemp_j,pcinc_j,div_j,dem_i,lat_j,longt_j,cm_j,mc_j,co_j
3976876,11730,0.036120504,16167,0.013401258,0.45635,39.965018,-84.185551,1,0,0
3977322,7584,0.063382089,13048,0.010766488,0.4646,39.479073,-84.462008,1,0,0
3979002,16687,0.020233918,29635,0.06022265,0.31475,40.027587,-83.070722,1,0,0
3983342,35541,0.02556026,17926,0.074155617,0.432,40.123435,-82.913324,1,0,0
3986730,9451,0.044168096,27381,0.244172231,0.28245,39.229492,-84.481375,1,0,0
4009050,73960,0.038460554,14282,0.146905674,0.3379,36.036529,-95.780996,1,0,0
4014700,20022,0.051174935,11888,0.294890424,0.30365,36.313216,-95.610625,1,0,0
4023200,52754,0.039096469,17118,0.154375093,0.32185,35.673807,-97.413076,1,0,0
4023950,47544,0.068280114,11855,0.152375011,0.35895,36.405687,-97.869862,1,0,0
4031700,21960,0.069052514,11819,0.277297808,0.3293,35.858455,-97.418568,1,0,0
4048000,15165,0.081717452,10015,0.307144745,0.49265,36.887917,-94.872945,0,1,0
4052500,82287,0.061101549,13698,0.222211165,0.36545,35.240577,-97.345306,1,0,0
4059850,30133,0.051473641,13789,0.19747154,0.37855,36.721042,-97.068444,1,0,0
4066800,34173,0.088127375,10618,0.29312654,0.33475,35.363903,-96.960453,1,0,0
4070300,40751,0.060641118,11071,0.217906136,0.33435,36.137051,-97.072421,1,0,0
4075000,370520,0.06117575,15336,0.348089659,0.33435,36.127949,-95.902316,0,1,0
4101000,38386,0.062915815,12580,0.064118466,0.4284,44.626928,-123.096741,1,0,0
4103050,18479,0.058256541,13058,0.089098619,0.4284,42.192172,-122.700426,0,1,0
4105800,39210,0.040622425,14079,0.046011397,0.4284,44.05643,-121.308024,1,0,0
4115350,5953,0.061124694,10420,0.110226959,0.4284,43.180331,-124.184163,1,0,0
4123800,3954,0.10039705,11289,0.057590848,0.4284,45.297544,-122.331858,1,0,0
4123850,141850,0.06411128,13779,0.113864012,0.4237,44.056748,-123.116207,1,0,0
4130550,29989,0.097351411,11471,0.057561157,0.36805,42.434113,-123.333166,1,0,0
4131250,69037,0.042584912,13700,0.117197519,0.36805,45.502319,-122.441609,1,0,0
4136150,5642,0.093959732,8860,0.323688498,0.36805,44.857784,-123.197681,1,0,0
4138500,20233,0.054197965,13218,0.130051237,0.33245,45.002971,-123.024491,1,0,0
4140350,13224,0.074878444,10921,0.078472726,0.33245,45.324471,-118.086891,1,0,0
4140550,36919,0.03191849,26187,0.068912502,0.33245,45.412305,-122.699154,1,0,0
4150150,3525,0.078367876,10294,0.182996645,0.38745,45.070293,-122.796353,1,0,0
4150950,5173,0.120833333,9459,0.050435625,0.33705,43.02386,-123.2785,1,0,0
4154100,3804,0.123580494,9527,0.065922022,0.49235,43.745007,-122.465261,1,0,0
4155200,25138,0.044675161,12612,0.054414568,0.49235,45.341314,-122.592327,1,0,0
4161200,10547,0.062092756,11818,0.054112857,0.49235,44.262753,-121.180137,1,0,0
4161300,4745,0.118583162,11369,0.082471104,0.4781,43.698854,-124.111918,1,0,0
4163650,23882,0.062640239,11868,0.068357491,0.3762,43.222336,-123.352482,1,0,0
4164900,125524,0.061260713,12960,0.154346047,0.4127,44.923694,-123.023119,1,0,0
4165250,7989,0.053369405,11803,0.056713605,0.4127,45.398073,-122.268802,1,0,0
4167100,4528,0.044939271,14308,0.065807545,0.4127,45.359784,-122.843028,1,0,0
4167950,2111,0.038500507,12516,0.052930315,0.4127,44.292082,-121.553384,0,1,0
4169600,57266,0.078639782,10814,0.08270256,0.5728,44.053947,-122.981225,1,0,0
4174000,5358,0.081003289,11171,0.070677386,0.5728,44.619392,-123.933703,1,0,0
4174850,9606,0.04457478,13214,0.112263945,0.40245,45.53893,-122.393027,1,0,0
4174950,14011,0.030235988,17014,0.084666937,0.47425,45.376716,-122.770379,1,0,0
4180150,14597,0.026064844,19292,0.057568115,0.36515,45.367123,-122.639654,1,0,0
4181300,671,0.14229249,11028,0.035113671,0.44175,45.687265,-123.887169,0,1,0
4183750,17047,0.0586186,9817,0.306351624,0.44175,45.147683,-122.858568,1,0,0
4214712,12524,0.069068541,11158,0.501373498,0.3808,39.985152,-75.819,1,0,0
4254656,30994,0.051282051,13481,0.422573156,0.33945,40.122076,-75.33987,0,1,0
4270352,5389,0.042967315,11016,0.062361558,0.4802,40.048366,-77.52256,1,0,0
4285152,47269,0.073816541,10500,0.074760076,0.4587,41.246561,-75.875689,0,1,0
4500100,9217,0.058397465,10849,0.486979985,0.4838,34.179935,-82.377913,1,0,0
4500550,36101,0.047161623,15445,0.397422707,0.32435,33.529829,-81.727284,1,0,0
4501360,35263,0.065270569,11575,0.442652766,0.35825,34.521166,-82.647326,1,0,0
4504690,21621,0.052105949,12109,0.491205516,0.40595,32.44826,-80.710488,1,0,0
4505680,15028,0.104887675,8241,0.495954654,0.4007,34.628189,-79.685901,1,0,0
4516000,163215,0.062030512,11983,0.52061129,0.47015,34.029783,-80.896566,1,0,0
4516405,21931,0.056949535,10186,0.425044752,0.32485,33.845395,-79.035298,1,0,0
4528060,21915,0.076215022,10473,0.437949809,0.4015,35.0755,-81.657647,0,1,0
4530850,67890,0.054448721,14713,0.459410778,0.4015,34.836902,-82.362997,1,0,0
4532560,15911,0.060227432,11739,0.466862021,0.6129,34.362953,-80.081624,1,0,0
4549075,30415,0.054473648,14757,0.265916435,0.63135,33.710801,-78.885862,1,0,0
4560280,7632,0.062100457,8313,0.501105045,0.52665,32.468544,-80.925446,0,1,0
4568290,60131,0.060529678,13077,0.48189771,0.37495,34.942294,-81.926907,1,0,0
4600100,27810,0.035551628,12007,0.0774563,0.4489,45.464678,-98.468104,1,0,0
4708540,38443,0.070754228,12861,0.052870888,0.48015,36.558788,-82.216961,1,0,0
4716540,37303,0.053706264,12751,0.293372154,0.3928,35.622509,-87.049766,1,0,0
4727740,31982,0.031979607,17822,0.24439613,0.49625,35.921251,-86.852281,0,1,0
4738320,67883,0.062198391,12419,0.095431171,0.37475,36.338218,-82.377427,1,0,0
4739560,68829,0.058885875,13275,0.059060454,0.37475,36.524936,-82.547383,1,0,0
4750280,45351,0.063126818,11292,0.10036242,0.3745,36.203754,-83.296555,1,0,0
4755120,33618,0.052138148,16806,0.165707959,0.3302,35.966483,-84.290549,1,0,0
4801924,19163,0.03005791,16999,0.119676262,0.368,33.107224,-96.674676,1,0,0
4804000,262420,0.049842296,16180,0.303774581,0.368,32.700708,-97.124691,1,0,0
4809556,17148,0.072514294,11980,0.26345887,0.4564,35.659435,-101.40236,1,0,0
4811428,30361,0.056104795,13367,0.064829505,0.4564,32.51872,-97.340903,1,0,0
4812532,15553,0.053515342,11740,0.144545185,0.428,34.992814,-101.911998,1,0,0
4813024,79298,0.038459182,19035,0.296101466,0.32785,32.98836,-96.89977,1,0,0
4813492,20688,0.036660976,15184,0.34504099,0.3309,32.58446,-96.95886,1,0,0
4815976,57099,0.059179887,9989,0.28899967,0.558,30.588623,-96.29601,1,0,0
4817000,263647,0.083774423,11774,0.380649922,0.2375,27.754252,-97.173385,1,0,0
4819624,26405,0.051651695,15759,0.140718174,0.2375,29.686945,-95.116541,1,0,0
4819972,75059,0.058824953,12657,0.296858379,0.2375,33.215139,-97.141687,1,0,0
4820092,30608,0.041160441,17814,0.376620599,0.405,32.599349,-96.862941,1,0,0
4821892,24030,0.204469914,5442,0.494827593,0.405,28.711448,-100.481575,1,0,0
4824000,520894,0.102978142,9560,0.374690049,0.405,31.84836,-106.426979,1,0,0
4824768,36895,0.039608696,16545,0.244521658,0.405,32.849366,-97.078592,1,0,0
4825224,1172,0.025,21828,0.079952845,0.405,33.140653,-96.613511,0,1,0
4826232,18558,0.033554466,19183,0.095511368,0.405,33.037821,-97.113004,1,0,0
4826808,11708,0.09456986,9074,0.480918676,0.405,30.892673,-102.885707,1,0,0
4827000,490659,0.073635237,13474,0.504402308,0.28155,32.779542,-97.346335,1,0,0
4829660,6829,0.090600611,9467,0.337076628,0.28155,32.543338,-94.945318,1,0,0
4830464,98608,0.05998352,13946,0.395647909,0.28155,32.684193,-97.020995,1,0,0
4830644,30140,0.029522335,20312,0.103552482,0.28155,32.934107,-97.076533,1,0,0
4832312,13018,0.062052967,12133,0.295544239,0.28155,31.056708,-97.644221,1,0,0
4832372,58537,0.096054172,9074,0.313314129,0.33805,26.191204,-97.697383,1,0,0
4835624,2243,0.036155203,14703,0.238409695,0.3243,30.538092,-97.549645,1,0,0
4837000,155245,0.052596159,16395,0.363101822,0.3243,32.857748,-96.970022,1,0,0
4837528,4249,0.136251541,9741,0.474839455,0.56215,32.763009,-94.350834,0,1,0
4838632,12029,0.026559417,20089,0.06182382,0.37585,32.932884,-97.224496,1,0,0
4839040,27997,0.059074612,13260,0.200722005,0.37585,30.038317,-99.131069,1,0,0
4839124,17455,0.071209707,11345,0.306628733,0.3352,32.397809,-94.859589,1,0,0
4839952,5013,0.080566622,10127,0.456951168,0.3352,30.002102,-97.863669,1,0,0
4841212,22437,0.055152878,12748,0.487725624,0.3352,32.595889,-96.777954,1,0,0
4841464,126784,0.113376999,6902,0.41428,0.43525,27.547681,-99.486931,1,0,0
4843012,2368,0.060985145,12193,0.220099226,0.4169,33.17669,-96.929027,1,0,0
4843888,77559,0.068396414,12996,0.357609968,0.4169,32.519305,-94.76481,1,0,0
4845384,88837,0.102702268,9679,0.417678362,0.4145,26.218512,-98.246145,1,0,0
4845744,22828,0.055979187,14462,0.381152182,0.4145,33.201241,-96.667979,1,0,0
4848072,103308,0.064566898,15433,0.326560438,0.62285,32.029931,-102.109697,1,0,0
4848804,38222,0.039568174,18242,0.552757269,0.2603,29.565156,-95.538175,1,0,0
4849800,16931,0.051885531,11341,0.43185158,0.52485,33.159517,-94.972146,1,0,0
4850472,7810,0.05126498,8466,0.571976208,0.35905,30.388978,-96.089076,1,0,0
4852356,46814,0.042895442,15927,0.121368315,0.23825,32.862042,-97.214758,1,0,0
4853388,96507,0.075618975,11499,0.385147976,0.41615,31.880378,-102.343406,1,0,0
4854444,2226,0.038132296,19295,0.116095271,0.3994,32.541277,-96.883463,1,0,0
4855080,27301,0.082281199,10273,0.361996823,0.3994,33.668144,-95.543979,1,0,0
4856348,36051,0.044411934,15415,0.261924157,0.5287,29.555761,-95.32307,1,0,0
4858820,62423,0.12317237,9896,0.567998679,0.7122,29.833402,-93.96632,1,0,0
4862504,981,0.037974684,15096,0.133599782,0.2382,33.010091,-97.22917,1,0,0
4863572,22617,0.031960954,17254,0.170915201,0.49815,32.915922,-96.548673,1,0,0
4864472,90662,0.081628247,11435,0.33431025,0.3202,31.438912,-100.45185,1,0,0
4865000,1057390,0.08810006,11413,0.427717344,0.4269,29.472403,-98.525142,1,0,0
4865600,38534,0.08855359,8858,0.369900061,0.2283,29.876898,-97.93157,1,0,0
4866392,6544,0.047938639,21332,0.140548418,0.3104,29.592971,-94.993424,1,0,0
4867268,914,0.036,29318,0.130311329,0.3737,29.584448,-98.556179,1,0,0
4868624,15940,0.081551008,9923,0.406302612,0.3737,32.713547,-100.91073,1,0,0
4870808,48155,0.034063161,22920,0.377449452,0.3737,29.596927,-95.629429,1,0,0
4872176,54223,0.0627315,12953,0.398846319,0.3737,31.105656,-97.382522,1,0,0
4872368,41318,0.074603529,12603,0.448645825,0.3737,33.448105,-94.081217,1,0,0
4872530,15421,0.050877193,14375,0.220068409,0.3737,33.089609,-96.903328,1,0,0
4876000,114544,0.078697554,10476,0.459981599,0.3737,31.560111,-97.186027,1,0,0
4876672,19222,0.035560547,13550,0.153454092,0.4407,32.871799,-97.251488,1,0,0
4876816,24133,0.06710832,11700,0.377318742,0.3352,32.402674,-96.842674,1,0,0
4876864,29582,0.052488119,13171,0.097812233,0.6751,32.755397,-97.765731,1,0,0
4879000,97365,0.071258468,11745,0.326711735,0.38005,33.906699,-98.525854,1,0,0
4880224,7946,0.024743231,20843,0.079143864,0.34035,31.498334,-97.230789,1,0,0
4901310,16364,0.058153846,8632,0.051131452,0.2277,40.381552,-111.793603,0,1,0
4907690,39806,0.037234913,14046,0.029390988,0.2277,40.872477,-111.86121,1,0,0
4911980,12286,0.051418115,12008,0.028817122,0.2277,40.926281,-111.883399,1,0,0
4913850,20080,0.073777524,8783,0.27232702,0.2277,41.096778,-112.017469,1,0,0
4916270,32967,0.035143401,15473,0.04713792,0.3668,40.615295,-111.815178,1,0,0
4920120,8611,0.032215211,10847,0.125694445,0.3668,40.495191,-111.860651,1,0,0
4920810,75,0,12572,0.027391975,0.3668,40.314235,-112.002685,1,0,0
4935190,5387,0.05026455,9270,0.041301205,0.1584,40.427062,-111.795474,0,1,0
4944320,10405,0.052506534,9092,0.048373908,0.1584,40.416671,-111.878951,0,1,0
4957300,67519,0.04357195,9701,0.068166285,0.1584,40.298709,-111.69919,1,0,0
4958730,10320,0.032738095,7886,0.060677824,0.1584,40.035806,-111.729793,1,0,0
4960930,12286,0.05492697,8892,0.050555915,0.1584,40.371423,-111.741117,0,1,0
